Package;Modul;Komponent;Domain;Klasse;Anzahl der Abhängigkeiten zu anderen Modulen;Anzahl der Abhängigkeiten zu anderen Packages;Anzahl der Abhängigkeiten zu anderen Komponenten;Anzahl der Abhängigkeiten im gleichen Modul;Anzahl der Abhängigkeiten im gleichen Package;Anzahl der Abhängigkeiten in der gleichen Komponente
de.exxcellent.student.softwarearchitecture.transition.dataaccess;common;null;dataaccess;CrudDataAccess;0;0;0;2;2;0
de.exxcellent.student.softwarearchitecture.transition.navigation.route.api.types.route;domain;route;navigation;RouteDO;0;0;0;1;1;1
de.exxcellent.student.softwarearchitecture.transition.planning.user.data.mapper;infrastructure-dataaccess;user;planning;UserPermissionDataAccessMapper;1;2;0;1;0;2
de.exxcellent.student.softwarearchitecture.transition.planning.appointment.mapper;domain;appointment;planning;AppointmentMapper;3;5;0;2;0;2
de.exxcellent.student.softwarearchitecture.transition.application.springconfiguration.converters;infrastructure-application;null;application;WebMvcConverterConfiguration;0;3;0;3;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.user.mapper;domain;user;planning;UserMapper;3;8;0;5;0;5
de.exxcellent.student.softwarearchitecture.transition.types;common;null;types;BusinessDO;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.dataaccess.types;infrastructure-routecalculation;routecalculation;navigation;LocationResponseTO;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.user.api;domain;user;planning;UserComponent;1;3;0;2;0;2
de.exxcellent.student.softwarearchitecture.transition.application.springconfiguration.security.types;infrastructure-application;null;application;UserPermission;1;1;1;0;0;0
de.exxcellent.student.softwarearchitecture.transition.component.inspectors.resources.mapper;infrastructure-application;null;component;InspectorsMapper;3;5;1;2;0;0
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.types.notification;infrastructure-application;null;component;NotificationChannel;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.process.api.types;domain;process;planning;ProcessDO;1;1;0;2;2;2
de.exxcellent.student.softwarearchitecture.transition.validation;common;null;validation;Preconditions;0;2;0;2;0;0
de.exxcellent.student.softwarearchitecture.transition.component.processes.resources.types;infrastructure-application;null;component;ProcessTO;1;1;0;2;2;0
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.types.notification;infrastructure-application;null;component;NotificationTO;1;1;0;1;1;0
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.types.route;infrastructure-application;null;component;RouteOverviewCTO;1;1;0;1;1;0
de.exxcellent.student.softwarearchitecture.transition.navigation.route.facade;domain;route;navigation;NotificationFacade;3;9;0;6;0;6
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.dataaccess.types;domain;routecalculation;navigation;LocationDTO;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.appointment.api.types;domain;appointment;planning;AppointmentDO;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.dataaccess.types;domain;routecalculation;navigation;TripResponseDTO;0;0;0;1;1;1
de.exxcellent.student.softwarearchitecture.transition.component.contacts.resources.mapper;infrastructure-application;null;component;ContactMapper;3;5;1;2;0;0
de.exxcellent.student.softwarearchitecture.transition.datetime;common;null;datetime;DateTimeUtil;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.dataaccess;common;null;dataaccess;User;0;0;0;0;0;0
